Date,Name,Text,compound,negative,neutral,positive
Thu Jun 21 16:33:54 +0000 2018,BBC Breaking News,"I would like to ask how I can help reunite the children with their families ""as quickly as possible"" - @FLOTUS visi… https://t.co/DwNgwgKMoe",0.6369,0.0,0.776,0.224
Thu Jun 21 13:03:15 +0000 2018,BBC Breaking News,"US police arrest a 22-year-old man over killing of US rapper XXXTentacion, media reports say https://t.co/T1HzyyMAjW",-0.7783,0.343,0.657,0.0
Thu Jun 21 10:48:17 +0000 2018,BBC Breaking News,Trade minister Greg Hands to quit UK government over plans to expand Heathrow Airport https://t.co/k8Rf3a2dyJ,0.3182,0.0,0.859,0.141
Thu Jun 21 06:29:27 +0000 2018,BBC Breaking News,It's a girl: New Zealand’s PM Jacinda Ardern becomes the second elected world leader to give birth while in office https://t.co/uplrjclOtp,0.0,0.0,1.0,0.0
Wed Jun 20 19:20:55 +0000 2018,BBC Breaking News,President Trump signs order aiming to end immigrant family separations after global condemnation of the policy https://t.co/ZONwzwAOgJ,-0.5859,0.192,0.808,0.0
Wed Jun 20 15:39:55 +0000 2018,BBC Breaking News,"David Drumm, former head of Anglo Irish Bank, sentenced to six years in jail at Dublin Criminal Court for conspirac… https://t.co/lhtLaCxgWp",-0.5423,0.191,0.809,0.0
Wed Jun 20 15:06:19 +0000 2018,BBC Breaking News,Government sees off rebellion as it wins key Brexit vote by 319 to 303 https://t.co/ZCpy3YzehM,0.4939,0.082,0.714,0.203
Wed Jun 20 10:45:16 +0000 2018,BBC Breaking News,"Relatives have shown ""remarkable tenacity and fortitude in questioning what happened to their loved ones"" - Rt Rev… https://t.co/CjzTD1yqxC",0.7964,0.059,0.628,0.314
Wed Jun 20 10:35:30 +0000 2018,BBC Breaking News,"Some 456 patients died from opioids prescribed without justification, report into Gosport War Memorial Hospital says https://t.co/C8CFsUJZ3i",-0.8176,0.333,0.667,0.0
Wed Jun 20 09:39:37 +0000 2018,BBC Breaking News,"Police arrest London man on suspicion of ""act likely to cause explosion"" after small blast at Southgate Tube station https://t.co/B5jm6opvFK",-0.6124,0.217,0.783,0.0
Tue Jun 19 23:40:17 +0000 2018,BBC Breaking News,Canada will legalise marijuana for recreational use after a landmark law passes the Senate https://t.co/z4LZPOanEk,0.0772,0.0,0.909,0.091
Tue Jun 19 21:11:53 +0000 2018,BBC Breaking News,'A cesspool of political bias' - US announces withdrawal from UN Human Rights Council https://t.co/COdiLwtzY7,-0.0772,0.097,0.828,0.076
Tue Jun 19 16:25:31 +0000 2018,BBC Breaking News,"RT @bbctms: WORLD RECORD: 

446/3. 

England beat their own record for the highest total in ODIs. 

https://t.co/HOykR4YSIA

#bbccricket #E…",0.0,0.0,1.0,0.0
Tue Jun 19 12:15:48 +0000 2018,BBC Breaking News,"""It is time to review"" the use of cannabis for medicinal use - UK Home Secretary Sajid Javid tells Commons… https://t.co/o42VTyjihN",0.0,0.0,1.0,0.0
Mon Jun 18 22:37:23 +0000 2018,BBC Breaking News,"The US rapper XXXTentacion, who topped the charts as he faced domestic violence charges, has been killed aged 20. https://t.co/bWhBAUHOj1",-0.8934,0.386,0.614,0.0
Mon Jun 18 09:44:23 +0000 2018,BBC Breaking News,Three people die after being struck by train near Loughborough Junction in south London https://t.co/pqggyUIQRV,-0.7096,0.312,0.688,0.0
Sun Jun 17 21:01:21 +0000 2018,BBC Breaking News,"Question Time's David Dimbleby to step down from BBC show after 25 years to return to ""first love"" of reporting https://t.co/tY5e37Jaik",0.6369,0.0,0.826,0.174
Sat Jun 16 11:58:43 +0000 2018,BBC Breaking News,"Epileptic boy, 12, to get cannabis oil for ""medical emergency"" after it was confiscated, UK home secretary says https://t.co/XcTuezGNv7",-0.3818,0.126,0.874,0.0
Sat Jun 16 02:58:10 +0000 2018,BBC Breaking News,'It's devastating': Watch Glaswegians react as huge fire takes hold in city centre https://t.co/jzAbVJEQqe,-0.0258,0.144,0.719,0.138
Sat Jun 16 00:55:23 +0000 2018,BBC Breaking News,Fire service says no casualties reported as Glasgow School of Art suffers huge fire for second time in four years https://t.co/VpeuFXsbbG,-0.7783,0.356,0.563,0.081
Fri Jun 15 23:41:50 +0000 2018,BBC Breaking News,"Major fire at Glasgow School of Art's Mackintosh Building, four years after huge blaze there https://t.co/H5IRqoKFHK",-0.0258,0.128,0.749,0.123
Fri Jun 15 15:50:37 +0000 2018,BBC Breaking News,Judge revokes bail for ex-Trump campaign chairman Paul Manafort and orders he be held in jail pending trial https://t.co/2C2tt5VZ2z,0.0,0.0,1.0,0.0
Fri Jun 15 12:15:20 +0000 2018,BBC Breaking News,"President Trump slaps 25% tariffs on $50bn worth of Chinese goods, accusing Beijing of intellectual copyright theft https://t.co/FOFAGPVnbU",0.5423,0.078,0.685,0.237
Fri Jun 15 11:51:32 +0000 2018,BBC Breaking News,"EastEnders actor Leslie Grantham, best known as rogue ""Dirty Den” in the BBC One soap, has died aged 71 https://t.co/qiFPJnb5Nq",-0.3182,0.235,0.614,0.152
Fri Jun 15 11:18:05 +0000 2018,BBC Breaking News,Army sergeant jailed for life for trying to murder his wife by sabotaging her parachute https://t.co/qcqclTNkjB,-0.836,0.361,0.639,0.0
Thu Jun 14 14:59:56 +0000 2018,BBC Breaking News,"Scathing New York State lawsuit accuses Trump Foundation of ""persistent illegal conduct"" and wants it dissolved https://t.co/ZFW20yI0Y2",-0.7845,0.361,0.639,0.0
Thu Jun 14 13:04:28 +0000 2018,BBC Breaking News,"Catholic Argentina's lower house backs bill legalising abortion in first 14 weeks of pregnancy, but hurdles remain https://t.co/fs7xwgUTv6",-0.1779,0.144,0.856,0.0
Thu Jun 14 06:07:04 +0000 2018,BBC Breaking News,"Engineering firm Rolls-Royce confirms 4,600 job cuts over two years, hitting back office and management roles in UK https://t.co/tzhNpBsqQZ",-0.296,0.109,0.891,0.0
Thu Jun 14 03:24:42 +0000 2018,BBC Breaking News,"""We believe Kim Jong-un understands the urgency [of denuclearisation], that we must do this quickly."" - US Secretar… https://t.co/wtcXnRSfG0",0.0,0.0,1.0,0.0
Thu Jun 14 02:56:46 +0000 2018,BBC Breaking News,"""No sanctions relief"" for North Korea until complete denuclearisation, US Secretary of State Mike Pompeo says https://t.co/iDcLaW1rI2",0.2263,0.108,0.739,0.153
Wed Jun 13 11:41:34 +0000 2018,BBC Breaking News,RT @BBCPolitics: The SNP's Ian Blackford is sent out of the Commons after calling for the House to sit in private - and is followed by the…,0.0,0.0,1.0,0.0
Wed Jun 13 10:56:48 +0000 2018,BBC Breaking News,"RT @BBCSport: A joint bid from the United States, Canada and Mexico has won the right to host the 2026 Fifa World Cup, beating a bid from M…",0.5423,0.092,0.708,0.2
Wed Jun 13 10:07:30 +0000 2018,BBC Breaking News,"RT @BBCSport: The Spanish Football Federation have confirmed they have sacked Julen Lopetegui as manager, just over 24 hours before the Wor…",0.0,0.0,1.0,0.0
Tue Jun 12 17:00:49 +0000 2018,BBC Breaking News,Greece's northern neighbour to be called North Macedonia after 27 years of wrangling between the two countries https://t.co/QjARCqGsM5,0.0,0.0,1.0,0.0
Tue Jun 12 16:47:49 +0000 2018,BBC Breaking News,MPs vote by 324 to 298 against a bid to give Parliament the decisive say on the UK Brexit deal https://t.co/C872nN0pyy,0.2263,0.0,0.909,0.091
Tue Jun 12 11:05:10 +0000 2018,BBC Breaking News,"Alleged member of banned British far-right group National Action admits planning to murder Labour MP Rosie Cooper 

https://t.co/awefvWXOKw",-0.7579,0.309,0.602,0.088
Tue Jun 12 08:45:54 +0000 2018,BBC Breaking News,"#TrumpKimSummit: Donald Trump says US will be stopping ""very provocative"" war games with South Korea 

Live updates… https://t.co/rIaX4o1ASp",-0.6983,0.265,0.735,0.0
Tue Jun 12 08:35:42 +0000 2018,BBC Breaking News,"""Anyone can make war, but only the most courageous can make peace"" - US President Donald Trump on ""honest, direct""… https://t.co/yRqXcbjm5Q",0.8534,0.084,0.581,0.335
Tue Jun 12 05:51:30 +0000 2018,BBC Breaking News,"""The world will see a major change"" - Kim Jong-un's words as he and Donald Trump sign a ""historic"" document after… https://t.co/SXAubVew8R",0.0,0.0,1.0,0.0
Tue Jun 12 01:17:28 +0000 2018,BBC Breaking News,"When Trump met Kim. 

Clearer photos of that moment in history https://t.co/DNFStoMXjW

#trumpkimsummit 
#TrumpKim https://t.co/XIPiK6REju",0.0,0.0,1.0,0.0
